COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
Burta Wurta,High,2020-06-30,944,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-17.535972,130.475916
Burudu,Moderate,2020-06-30,1019,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,4.0,North Barkly Aboriginal Corporation/ Far Northern Contractors Pty Ltd,Aboriginal Corporation,Yes,Yes,No,-19.59874,136.92545
Bushcamp,Low,2020-06-30,24994,Family Outstation,Yes,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-19.717111,134.15408
Buymarr,Low,2020-06-30,803,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,8.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.69827,136.63653
Camel Camp,Moderate,2020-06-30,728,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.27181,134.55242
Camels Hump,Moderate,2020-06-30,768,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.75175,131.59435
Cannon Hill,Moderate,2020-06-30,304,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,12.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.35758,132.94593
Canteen Creek,Moderate,2020-06-30,219,Major,No,Barkly,Barkly Regional Council,Central Land Council,216.0,Canteen Creek Owairtilla Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-20.645082,135.58678
Cattle Creek,High,2020-06-30,11623,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-17.59747,131.545211
Charlotte Waters,High,2020-06-30,846,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.91424,134.89274
Chilla Well,Moderate,2020-06-30,757,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.52777,130.97067
Chuluk,High,2020-06-30,779,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.665,130.26778
Conder Point,Moderate,2020-06-30,1012,Family Outstation,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,2.0,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-11.65088,131.32757
Connells Lagoon,High,2020-06-30,901,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,6.0,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.89143,136.54802
Corella Creek,Moderate,2020-06-30,220,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,56.0,North Barkly Aboriginal Corporation/ Far Northern Contractors Pty Ltd,Aboriginal Corporation,Yes,Yes,No,-18.36685,135.85671
Corkwood Bore,Low,2020-06-30,1009,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,27.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.31225,133.86792
Costello,Low,2020-06-30,590,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,5.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.56453,134.88289
Cow Lagoon,Moderate,2020-06-30,972,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,5.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.20751,135.94962
Crabhole,Moderate,2020-06-30,24901,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,2.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.21525,137.09915
Daguragu,High,2020-06-30,591,Major,No,Savanna,Victoria-Daly Regional Council,Central Land Council,284.0,Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-17.40059,130.80491
Daliwuy Bay,High,2020-06-30,956,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.340847,136.918347
Damdam,High,2020-06-30,307,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.16556,134.64529
Darrandarra,High,2020-06-30,1003,Family Outstation,Yes,Vernon Arafura,Litchfield Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.74098,130.95462
Darrangmurmanja,High,2020-06-30,472,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.72486,136.59277
Deleye,Moderate,2020-06-30,775,Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,4.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-13.76535,129.97667
Dhalinybuy,Moderate,2020-06-30,473,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,80.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.4125,136.3878
Dhambala,Moderate,2020-06-30,896,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,16.0,Dinybulu Regional Services,Aboriginal Corporation,Yes,No,No,-12.0526,135.5609
Dhamiyaka,High,2020-06-30,475,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.656403,135.855569
Dhaniya,Moderate,2020-06-30,955,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,4.0,Marngarr Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.55007,136.73791
Dharawa,Moderate,2020-06-30,805,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.84938,135.84693
Dharrni,Moderate,2020-06-30,476,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.74983,136.02005
Dhayirri,Low,2020-06-30,806,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,14.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.9612,135.6187
Dhipirrinjura,Moderate,2020-06-30,477,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,45.0,Milingimbi & Outstations Progress Resource Association Inc,Aboriginal Corporation,Yes,Yes,No,-12.24806,135.09757
Dholtji,Moderate,2020-06-30,478,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.94835,136.46161
Dhudupu,Low,2020-06-30,664,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,9.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.0033,135.5692
Dhulmulmiya,High,2020-06-30,954,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.52781,136.72533
Dhupuwamirri,Moderate,2020-06-30,479,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,10.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.66796,135.39218
Dhuruputjpi,Low,2020-06-30,554,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,8.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.05478,136.17661
Dillinya,High,2020-06-30,819,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.85698,132.04505
Ditchi,High,2020-06-30,310,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.30373,129.40855
Djarrakpi,Low,2020-06-30,482,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,6.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.29691,136.35162
Djarrung,Moderate,2020-06-30,670,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,3.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-14.81311,131.53759
Djinkarr,Moderate,2020-06-30,965,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,4.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.21287,134.29626
Djirrbiyak,Moderate,2020-06-30,981,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,30.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.72945,132.763625
Djurranalpi,Low,2020-06-30,484,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,1.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.84684,135.87292
Dons Bore,Low,2020-06-30,46,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,4.0,Yapa-Kurlangu Ngurrara Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.26233,131.92027
Donydji,Low,2020-06-30,485,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,25.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.89045,135.47028
Doojum,High,2020-06-30,942,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.72519,129.15921
Doolgarina,High,2020-06-30,812,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.229168,136.76611
Double D,Moderate,2020-06-30,24897,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,2.0,Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-21.231767,134.946844
Duck Ponds,Moderate,2020-06-30,631,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.77377,131.27766
Eagle Valley,Moderate,2020-06-30,879,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.92999,129.09845
Eight Mile,Low,2020-06-30,34,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,6.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.88699,132.68279
Elitjia,Low,2020-06-30,920,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,12.0,Ngurratjuta Pmara Ntjarra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.77677,133.61583
Elliott North Camp,Moderate,2020-06-30,225,Town Camp,No,Barkly,Barkly Regional Council,Northern Land Council,197.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-17.54989,133.53597
Elliott South Camp,Moderate,2020-06-30,224,Town Camp,No,ERA,Barkly Regional Council,Northern Land Council,56.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-17.56218,133.55746
Emu Point,High,2020-06-30,882,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,130.0,Yantjarrwu Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-14.17021,130.32777
Engawala,Moderate,2020-06-30,33,Minor,No,Alice Springs,Central Desert Regional Council,Central Land Council,181.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-22.80257,134.45547
Ewyenper Atwatye,Moderate,2020-06-30,35,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,113.0,Tangentyere Council Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.708097,133.899736
Finke,Moderate,2020-06-30,36,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,226.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-25.5821,134.5779
Fitzroy Station,Moderate,2020-06-30,950,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,10.0,Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-15.56298,130.93431
Five Mile,Low,2020-06-30,57,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,5.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.91848,132.84834
Flicks Hole,High,2020-06-30,685,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.61606,134.09331
Fossil Head,Moderate,2020-06-30,911,Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,8.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.53778,129.52127
Foxalls Well,Low,2020-06-30,909,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,10.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-23.07383,134.82355
Galaru,Moderate,2020-06-30,496,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.16601,136.75732
Galawarra,Low,2020-06-30,807,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,12.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.0444,135.59373
Galawdjapin,Low,2020-06-30,489,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,8.0,Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.28695,134.81751
Galiwinku,Moderate,2020-06-30,492,Major,No,Arnhem,East Arnhem Regional Council,Northern Land Council,2453.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.0235,135.5664
Galupa,High,2020-06-30,495,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.1925,136.6892
Gamardi,Moderate,2020-06-30,315,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,24.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.27398,134.68321
Gamargawan,Low,2020-06-30,316,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,12.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.64914,134.07646
Gan Gan,Moderate,2020-06-30,498,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,90.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.04605,135.94354
Ganiyarrang,Moderate,2020-06-30,1024,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.474999,135.02131
Ganpura,Low,2020-06-30,499,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,5.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.885225,135.812353
Gapuwiyak,High,2020-06-30,500,Major,No,Arnhem,East Arnhem Regional Council,Northern Land Council,1085.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.50322,135.80587
Garanydjirr,Low,2020-06-30,963,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,1.0,Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.28204,135.02095
Garawa 1,Moderate,2020-06-30,229,Town Camp,No,ERA,Roper Gulf Regional Council,Northern Land Council,110.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.068792,136.321292
Garawa 2,Moderate,2020-06-30,992,Town Camp,No,ERA,Roper Gulf Regional Council,Northern Land Council,56.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.073903,136.318903
Garrinjinny,Moderate,2020-06-30,993,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,8.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.67496,135.64751
Garriyak,High,2020-06-30,504,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.14861,135.56284
Garrthalala,Low,2020-06-30,505,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,50.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.76305,136.56918
Gatji,Moderate,2020-06-30,507,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.27306,134.82029
Gawa,Low,2020-06-30,508,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,57.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.76032,135.90485
Gikal,Low,2020-06-30,509,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,9.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.05218,136.32037
Gilbert Springs,Moderate,2020-06-30,38,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.97177,132.48073
Gilirri,High,2020-06-30,490,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.33029,134.81695
Gilwi,Moderate,2020-06-30,597,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,36.0,Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-15.78711,130.53275
Gimbat,High,2020-06-30,945,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.57854,132.60772
Gitan,Moderate,2020-06-30,510,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.91169,135.78183
Gochan Jiny Jirra,Moderate,2020-06-30,319,Minor,No,Arnhem,West Arnhem Regional Council,Northern Land Council,38.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.19925,134.45751
Gonguruwuy,Moderate,2020-06-30,669,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.06638,136.15085
Goolminyini,Moderate,2020-06-30,723,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,40.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.15829,136.09751
Gorpulyul,Moderate,2020-06-30,596,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.34621,134.14587
Gorrong-Gorrong,Moderate,2020-06-30,321,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.12294,134.49532
Green Valley,Low,2020-06-30,44,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,7.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.15051,131.73817
Gudjekbin,High,2020-06-30,740,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.250972,133.80109
Gul Gul,High,2020-06-30,741,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.13042,132.33842
Gulardi,Moderate,2020-06-30,24905,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,23.0,Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-15.713256,130.483989
Gulmarri,Low,2020-06-30,512,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,9.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.91701,135.82229
Gulngarring,High,2020-06-30,867,Family Outstation,Yes,Vernon Arafura,Coomalie Community Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.13876,131.09811
Gulunguru,High,2020-06-30,204,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,2.0,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.35439,136.03855
Gumarrirnbang,Low,2020-06-30,328,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,10.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.32945,133.99695
Gumeragi,Moderate,2020-06-30,308,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,2.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.1688,132.1647
Gumuluji,High,2020-06-30,691,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-17.93534,137.48038
Gumuruguru,High,2020-06-30,497,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.06001,134.76306
Gunbalanya,High,2020-06-30,329,Major,No,Arnhem,West Arnhem Regional Council,Northern Land Council,1312.0,West Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.324,133.056
Gunyangara,Moderate,2020-06-30,514,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,282.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.215417,136.70569
Gupanga,Moderate,2020-06-30,330,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.0752,134.5843
Gurkawuy,Low,2020-06-30,516,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,15.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.97616,136.50362
Gurrgurr,High,2020-06-30,331,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.20644,134.00904
Gurrumuru,Moderate,2020-06-30,517,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,10.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.592236,136.231681
Gutjangan,Low,2020-06-30,804,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,25.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.0839,136.80857
Haasts Bluff,Moderate,2020-06-30,41,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,162.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-23.44733,131.88129
Halfway Camp,High,2020-06-30,845,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.69492,134.36263
Hatches Creek,Low,2020-06-30,903,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,4.0,Canteen Creek Owairtilla Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-20.84606,135.21349
Hawk Dreaming,Moderate,2020-06-30,1028,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,2.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.37053,132.93914
Hermannsburg,Moderate,2020-06-30,43,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,711.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-23.9427,132.7787
Hingstons Place,Low,2020-06-30,973,Family Outstation,No,ERA,Barkly Regional Council,Central Land Council,5.0,Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-19.61773,134.19703
Hodgson River Station,Moderate,2020-06-30,600,Minor,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Alawa Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-15.47477,134.09553
Hoppys Camp,Low,2020-06-30,675,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,60.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.684046,133.876575
Humpty Doo,Moderate,2020-06-30,334,Family Outstation,Yes,Vernon Arafura,Litchfield Council,Northern Land Council,7.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.63105,131.26078
Hunters Camp,Moderate,2020-06-30,800,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,4.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.65001,132.8291
Ijarra,High,2020-06-30,813,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.2152,136.00501
Ileparratye,Low,2020-06-30,1005,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,10.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.02145,133.42931
Iljitjarri,Moderate,2020-06-30,24990,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-24.53401,132.49215
Ilkarralalama,Moderate,2020-06-30,45,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.96461,132.46504
Illeuwurru,High,2020-06-30,737,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.60913,134.39411
Ilperle,Low,2020-06-30,709,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,3.0,Arramwelke Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.92737,135.71575
Ilperle-Tyathe,Low,2020-06-30,48,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,40.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.6656,133.8611
Ilpeye Ilpeye Estate,Low,2020-06-30,676,Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,60.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.699931,133.906986
Ilpili,Moderate,2020-06-30,49,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.32393,130.36045
